Elapsed_Time_Seconds,Raw_ADC,Voltage_Volts
0.00,18740,0.944
0.62,11986,0.604
1.25,13107,0.660
1.88,11890,0.599
2.51,11890,0.599
3.14,11730,0.591
3.77,11666,0.587
4.41,11602,0.584
5.04,11618,0.585
5.68,11522,0.580
6.31,11586,0.583
6.94,11506,0.579
7.58,11442,0.576
8.21,11378,0.573
8.85,11394,0.574
9.49,11410,0.575
10.13,11442,0.576
