Elapsed_Time_Seconds,Raw_ADC,Voltage_Volts
0.00,16564,0.834
0.62,15683,0.790
1.25,19188,0.966
1.88,16067,0.809
2.51,15043,0.757
3.14,40249,2.027
3.77,41850,2.107
4.41,41306,2.080
5.04,15507,0.781
5.68,39417,1.985
6.31,18772,0.945
6.94,39417,1.985
7.58,38457,1.936
8.21,16115,0.811
8.84,37465,1.887
9.47,17972,0.905
10.10,38281,1.928
10.73,37881,1.907
11.36,39721,2.000
11.99,40793,2.054
