Elapsed_Time_Seconds,Raw_ADC,Voltage_Volts
0.00,65535,3.300
0.62,35064,1.766
1.25,33352,1.679
1.88,33240,1.674
2.51,32631,1.643
3.14,33912,1.708
3.77,33256,1.675
4.40,33464,1.685
5.03,33656,1.695
5.66,33720,1.698
6.29,34168,1.721
6.92,34136,1.719
7.55,34712,1.748
8.18,35816,1.804
8.81,34728,1.749
9.44,34808,1.753
10.07,35160,1.770
10.70,34680,1.746
11.33,36184,1.822
11.96,38649,1.946
12.59,40217,2.025
