Elapsed_Time_Seconds,Raw_ADC,Voltage_Volts
0,65535,3.3
0.62,65535,3.3
1.25,65535,3.3
1.88,65535,3.3
2.51,65535,3.3
3.14,65535,3.3
3.77,65535,3.3
4.4,65535,3.3
5.03,65535,3.3
5.66,65535,3.3
6.29,65535,3.3
6.92,65535,3.3
7.55,65535,3.3
